Starting_gene(s)_symbol	Starting_gene(s)_FBgn	Interacting_gene(s)_symbol	Interacting_gene(s)_FBgn	Interaction_type
htl	fbgn0010389	Ntan1	fbgn0034371	suppressible
Sos	fbgn0001965	Rho1	fbgn0014020	suppressible
cher	fbgn0014141	pbl	fbgn0003041	enhanceable
RhoGAP68F	fbgn0036257	Rab7	fbgn0015795	enhanceable
Ret	fbgn0011829	Pp1-87B	fbgn0004103	enhanceable
Pten	fbgn0026379	btl::Egfr	fbgn0022739	enhanceable
Kr	fbgn0001325	Mi-2	fbgn0262519	enhanceable
Rdl	fbgn0004244	Fas2	fbgn0000635	suppressible
mir-let7|mir-125	fbgn0262406|fbgn0262456	ab	fbgn0264442	suppressible
mi	fbgn0261786	mir-308	fbgn0262407	suppressible
Mmp2	fbgn0033438	Timp	fbgn0025879	suppressible
sc	fbgn0004170	E(spl)m8-HLH::h	fbgn0020060	suppressible
pyd	fbgn0262614	h	fbgn0001168	enhanceable
Rho1	fbgn0014020	fra	fbgn0011592	enhanceable
wrd	fbgn0042693	sgg	fbgn0003371	suppressible
bs	fbgn0004101	Mer	fbgn0086384	enhanceable
rl	fbgn0003256	ash2	fbgn0000139	enhanceable
aos	fbgn0004569	SM3-3	fbgn0041617	suppressible
Rho1	fbgn0014020	sqh	fbgn0003514	suppressible
br	fbgn0283451	Sb	fbgn0003319	enhanceable
ca	fbgn0000247	w	fbgn0003996	enhanceable
dom	fbgn0020306	Tip60	fbgn0026080	enhanceable
Fas2	fbgn0000635	Amph	fbgn0027356	enhanceable
CSN5	fbgn0027053	CycE	fbgn0010382	suppressible
Pc	fbgn0003042	E(Pc)	fbgn0000581	enhanceable
ap	fbgn0267978	fng	fbgn0011591	suppressible
mei-217	fbgn0028581	mei-41	fbgn0004367	suppressible
meru	fbgn0052150	baz	fbgn0000163	enhanceable
grnd	fbgn0032682	hep	fbgn0010303	suppressible
ro	fbgn0003267	Su(ro<up>DOM</up>)1480	fbgn0043559	suppressible
trp	fbgn0003861	SERCA	fbgn0263006	suppressible
ninaE	fbgn0002940	TER94	fbgn0286784	suppressible
ct	fbgn0004198	su(Hw)	fbgn0003567	suppressible
mir-ban	fbgn0262451	Myc	fbgn0262656	suppressible
Mical|SelR	fbgn0053208|fbgn0267376	Act5C	fbgn0000042	suppressible
Pvr|hep	fbgn0032006|fbgn0010303	kay	fbgn0001297	suppressible
Ptp69D	fbgn0014007	Ptp99A	fbgn0004369	enhanceable
N	fbgn0004647	tal	fbgn0087003	enhanceable
Su(H)	fbgn0004837	E(Egfr)B56	fbgn0023224	suppressible
Su(Tpl)|lilli	fbgn0014037|fbgn0041111	N	fbgn0004647	suppressible
Ser	fbgn0004197	Kap-?3	fbgn0027338	enhanceable
Raf|RhoGEF2	fbgn0003079|fbgn0023172	Rho1	fbgn0014020	suppressible
Nlg1	fbgn0051146	Nrx-1	fbgn0038975	suppressible
?Tub23C	fbgn0260639	Grip91	fbgn0001612	suppressible
H	fbgn0001169	Atg4b	fbgn0038325	suppressible
HDAC1	fbgn0015805	htt	fbgn0027655	enhanceable
Rbf	fbgn0015799	mir-998	fbgn0262405	enhanceable
RpL30	fbgn0086710	Dp	fbgn0011763	suppressible
rux	fbgn0003302	swm	fbgn0002044	suppressible
Myc	fbgn0262656	Atg18a	fbgn0035850	suppressible
h	fbgn0001168	CtBP	fbgn0020496	suppressible
faf	fbgn0005632	pnt	fbgn0003118	suppressible
Pten	fbgn0026379	Tsc1|gig	fbgn0026317|fbgn0005198	suppressible
Pi3K92E	fbgn0015279	Pten	fbgn0026379	suppressible
ro	fbgn0003267	gro	fbgn0001139	suppressible
shtd	fbgn0004391	ida	fbgn0041147	suppressible
Sdc	fbgn0010415	dally	fbgn0263930	enhanceable
Atg1	fbgn0260945	Cpsf160	fbgn0024698	suppressible
png	fbgn0000826	eEF5	fbgn0285952	suppressible
H	fbgn0001169	aop	fbgn0000097	suppressible
bchs	fbgn0043362	Syx1A	fbgn0013343	enhanceable
su(Hw)|w|z	fbgn0003567|fbgn0003996|fbgn0004050	e(y)1	fbgn0000617	enhanceable
btl::Egfr|Pi3K92E	fbgn0022739|fbgn0015279	Tsc1	fbgn0026317	enhanceable
r	fbgn0003189	e(r)	fbgn0011586	enhanceable
B-H1	fbgn0011758	Ras85D	fbgn0003205	enhanceable
cpa|cpb	fbgn0034577|fbgn0011570	Zyx	fbgn0011642	suppressible
Su(Tpl)|lilli	fbgn0014037|fbgn0041111	Dl	fbgn0000463	suppressible
Bx	fbgn0265598	caps	fbgn0023095	enhanceable
pho	fbgn0002521	Spps	fbgn0039169	enhanceable
N	fbgn0004647	anon-XII	fbgn0019852	enhanceable
14-3-3?	fbgn0020238	mew	fbgn0004456	suppressible
w	fbgn0003996	su(w<up>a</up>)	fbgn0003638	suppressible
Ubx	fbgn0003944	aos	fbgn0004569	suppressible
Marcal1	fbgn0031655	z	fbgn0004050	suppressible
Src42A	fbgn0264959	Egfr	fbgn0003731	suppressible
Bx	fbgn0265598	Chi	fbgn0013764	enhanceable
spin	fbgn0086676	Mad	fbgn0011648	suppressible
Trc8	fbgn0039668	CSN5	fbgn0027053	suppressible
grim::rpr	fbgn0041152	SkpA	fbgn0025637	enhanceable
mam	fbgn0002643	pum	fbgn0003165	enhanceable
Rac1|sli	fbgn0010333|fbgn0264089	Pak	fbgn0267698	suppressible
Tao	fbgn0031030	yki	fbgn0034970	suppressible
twf	fbgn0038206	chic	fbgn0000308	suppressible
y	fbgn0004034	su(Hw)	fbgn0003567	suppressible
kra	fbgn0250753	shot	fbgn0013733	enhanceable
mir-let7	fbgn0262406	E2f1	fbgn0011766	suppressible
Pp2B-14D	fbgn0011826	CanB	fbgn0010014	enhanceable
wupA	fbgn0283471	Su(2)E	fbgn0067398	suppressible
Axn	fbgn0026597	cos	fbgn0000352	enhanceable
l(2)gd1	fbgn0261983	N	fbgn0004647	enhanceable
kay	fbgn0001297	jigr1	fbgn0039350	enhanceable
E(spl)m8-HLH|N	fbgn0000591|fbgn0004647	Dl	fbgn0000463	suppressible
sna	fbgn0003448	noc	fbgn0005771	enhanceable
Snr1	fbgn0011715	aos	fbgn0004569	enhanceable
wit	fbgn0024179	Imp?11	fbgn0284254	enhanceable
Pink1|rictor	fbgn0029891|fbgn0031006	Atg1	fbgn0260945	suppressible
TER94	fbgn0286784	Diap1	fbgn0260635	suppressible
E2f1|Dp	fbgn0011766|fbgn0011763	His2Av	fbgn0001197	enhanceable
ct	fbgn0004198	pds5	fbgn0260012	suppressible
Pink1	fbgn0029891	Drp1	fbgn0026479	suppressible
ovo	fbgn0003028	mle	fbgn0002774	suppressible
Ras85D	fbgn0003205	Pten	fbgn0026379	enhanceable
Jra	fbgn0001291	mbl	fbgn0265487	suppressible
Dys	fbgn0260003	l(2)k04222b	fbgn0022207	suppressible
CycE	fbgn0010382	E(Sev-CycE)G66	fbgn0041839	enhanceable
egr	fbgn0033483	PpV	fbgn0003139	enhanceable
fu	fbgn0001079	oro	fbgn0020263	enhanceable
shtd	fbgn0004391	stg	fbgn0003525	suppressible
norpA	fbgn0262738	ninaE	fbgn0002940	suppressible
lz	fbgn0002576	mod(mdg4)	fbgn0002781	enhanceable
Atg1	fbgn0260945	Atg9	fbgn0034110	suppressible
Zip71B	fbgn0036461	ZnT35C	fbgn0028516	enhanceable
SCAR	fbgn0041781	Vrp1	fbgn0243516	enhanceable
E2f1	fbgn0011766	Su(E1)-B	fbgn0262768	suppressible
sstn	fbgn0036476	Rho1	fbgn0014020	suppressible
PlexA	fbgn0025741	Sema1a	fbgn0011259	suppressible
rdgA	fbgn0261549	inaD	fbgn0001263	suppressible
mys	fbgn0004657	shot	fbgn0013733	enhanceable
Sh	fbgn0003380	eag	fbgn0000535	suppressible
GluRIIA	fbgn0004620	gsb	fbgn0001148	suppressible
ssh	fbgn0029157	RhoGEF2	fbgn0023172	suppressible
scrt	fbgn0004880	dpn	fbgn0010109	enhanceable
upd1	fbgn0004956	mir-14	fbgn0262447	suppressible
Smox	fbgn0025800	CG18473	fbgn0037683	suppressible
Pten	fbgn0026379	Pi3K92E	fbgn0015279	suppressible
mir-92b	fbgn0262388	Mef2	fbgn0011656	suppressible
L	fbgn0267825	puc	fbgn0243512	suppressible
br	fbgn0283451	E(br)444	fbgn0069445	enhanceable
Iswi	fbgn0011604	lncRNA:Hsr?	fbgn0001234	suppressible
eIF4E1	fbgn0015218	pum	fbgn0003165	suppressible
Vps35	fbgn0034708	Rab5	fbgn0014010	enhanceable
N	fbgn0004647	par-1	fbgn0260934	enhanceable
rad50	fbgn0034728	tefu	fbgn0045035	enhanceable
Dl	fbgn0000463	S	fbgn0003310	suppressible
sgg	fbgn0003371	CRMP	fbgn0023023	suppressible
L	fbgn0267825	dco	fbgn0002413	suppressible
lic	fbgn0261524	alph	fbgn0086361	suppressible
faf	fbgn0005632	Jra	fbgn0001291	suppressible
Ras85D	fbgn0003205	Traf4	fbgn0026319	suppressible
Tis11	fbgn0011837	Pop2	fbgn0036239	suppressible
Ret	fbgn0011829	Mi-2	fbgn0262519	enhanceable
E(spl)m?-HLH	fbgn0002735	Su(Tpl)	fbgn0014037	suppressible
Apc2|Apc	fbgn0026598|fbgn0015589	puc	fbgn0243512	suppressible
Pink1	fbgn0029891	Sirt1|foxo	fbgn0024291|fbgn0038197	suppressible
Lar	fbgn0000464	Sdc	fbgn0010415	enhanceable
Appl	fbgn0000108	APP-BP1	fbgn0261112	suppressible
Tsc1|gig	fbgn0026317|fbgn0005198	S6k	fbgn0283472	suppressible
egr	fbgn0033483	Dark	fbgn0263864	suppressible
Ppt1	fbgn0030057	foi	fbgn0024236	enhanceable
ASPP|Csk	fbgn0034606|fbgn0262081	Btk29A	fbgn0003502	suppressible
Pi3K92E	fbgn0015279	lilli	fbgn0041111	suppressible
ftz	fbgn0001077	E(ftz)5303	fbgn0082677	enhanceable
bonsai	fbgn0026261	E2f1	fbgn0011766	suppressible
icln	fbgn0029079	Gem3	fbgn0011802	enhanceable
Cln3	fbgn0036756	Rok	fbgn0026181	suppressible
L	fbgn0267825	nej	fbgn0261617	enhanceable
p53	fbgn0039044	fzy	fbgn0001086	suppressible
h	fbgn0001168	gro	fbgn0001139	suppressible
Kr	fbgn0001325	l(2)04548	fbgn0024883	enhanceable
trx	fbgn0003862	Pp1-87B	fbgn0004103	suppressible
CycE	fbgn0010382	hh	fbgn0004644	enhanceable
Dfd	fbgn0000439	nej	fbgn0261617	enhanceable
smo	fbgn0003444	E(smoDN)2364	fbgn0083279	enhanceable
nos	fbgn0002962	Tao	fbgn0031030	suppressible
csw	fbgn0000382	spi	fbgn0005672	suppressible
Flo2	fbgn0264078	Flo1	fbgn0024754	enhanceable
Abd-B	fbgn0000015	gpp	fbgn0264495	enhanceable
Rheb	fbgn0041191	Pten	fbgn0026379	suppressible
DCTN1-p150	fbgn0001108	fan	fbgn0028379	enhanceable
w	fbgn0003996	B52	fbgn0004587	enhanceable
par-1	fbgn0260934	Lkb1	fbgn0038167	suppressible
Mer	fbgn0086384	sbb	fbgn0285917	enhanceable
Mrp4	fbgn0263316	puc	fbgn0243512	suppressible
L	fbgn0267825	hth	fbgn0001235	suppressible
Apc|Ras85D	fbgn0015589|fbgn0003205	Pten|p53	fbgn0026379|fbgn0039044	suppressible
gig	fbgn0005198	Tsc1	fbgn0026317	enhanceable
Ras85D|scrib	fbgn0003205|fbgn0263289	Sec15	fbgn0266674	suppressible
POSH|egr	fbgn0040294|fbgn0033483	Akt1	fbgn0010379	enhanceable
prel	fbgn0033413	PEK	fbgn0037327	suppressible
robo1	fbgn0005631	Abl	fbgn0000017	enhanceable
Drp1	fbgn0026479	Opa1	fbgn0261276	suppressible
ash1|trx	fbgn0005386|fbgn0003862	Asx	fbgn0261823	enhanceable
aos	fbgn0004569	ebi	fbgn0263933	enhanceable
para	fbgn0285944	shi	fbgn0003392	suppressible
v	fbgn0003965	su(sable)	fbgn0003575	suppressible
su(Hw)|w	fbgn0003567|fbgn0003996	Scm	fbgn0003334	enhanceable
Vav	fbgn0040068	Sos	fbgn0001965	enhanceable
Zip71B	fbgn0036461	Zip48C	fbgn0033665	enhanceable
sl	fbgn0003416	Egfr	fbgn0003731	suppressible
smo	fbgn0003444	pav	fbgn0011692	enhanceable
hoip	fbgn0286786	Tm2	fbgn0004117	suppressible
Mer	fbgn0086384	E(Mer)IIIa	fbgn0044874	enhanceable
awd	fbgn0000150	btl	fbgn0285896	enhanceable
nerfin-1	fbgn0028999	Su(H)	fbgn0004837	suppressible
Myc	fbgn0262656	vito	fbgn0052418	suppressible
polybromo	fbgn0039227	Su(var)3-3	fbgn0260397	enhanceable
upd3	fbgn0053542	Ras85D	fbgn0003205	suppressible
N	fbgn0004647	RpL19	fbgn0285950	enhanceable
Ras85D|scrib	fbgn0003205|fbgn0263289	cher	fbgn0014141	suppressible
mio	fbgn0031399	mei-W68	fbgn0002716	suppressible
H	fbgn0001169	N	fbgn0004647	suppressible
dpp|lolal	fbgn0000490|fbgn0022238	sax	fbgn0003317	suppressible
spn-B	fbgn0003480	mei-41	fbgn0004367	suppressible
ZnT86D	fbgn0037875	ZnT63C	fbgn0035432	enhanceable
Vap33	fbgn0029687	Sod1	fbgn0003462	suppressible
tor	fbgn0003733	Ras85D	fbgn0003205	suppressible
Lis-1	fbgn0015754	tkv	fbgn0003716	suppressible
p130CAS	fbgn0035101	mys	fbgn0004657	suppressible
Hrs	fbgn0031450	lilli	fbgn0041111	suppressible
Eogt|Dcr-2	fbgn0264672|fbgn0034246	dpy	fbgn0053196	enhanceable
Rac1|DAAM	fbgn0010333|fbgn0025641	Rac2	fbgn0014011	enhanceable
sc	fbgn0004170	mod(mdg4)	fbgn0002781	suppressible
caz	fbgn0285954	Xrp1	fbgn0261113	suppressible
kn	fbgn0001319	Rac1	fbgn0010333	enhanceable
Atg16	fbgn0039705	robo2	fbgn0002543	suppressible
N	fbgn0004647	Pink1|Myc	fbgn0029891|fbgn0262656	suppressible
pbl	fbgn0003041	flfl	fbgn0024555	suppressible
nej	fbgn0261617	E(z)	fbgn0000629	suppressible
Marf	fbgn0029870	Fatp1	fbgn0267828	suppressible
grn	fbgn0001138	zfh1	fbgn0004606	suppressible
robo2	fbgn0002543	Ptp69D	fbgn0014007	suppressible
vtd	fbgn0260987	Tor	fbgn0021796	suppressible
ci	fbgn0004859	en	fbgn0000577	enhanceable
Rheb	fbgn0041191	Sin1	fbgn0033935	suppressible
flw	fbgn0000711	sqh	fbgn0003514	suppressible
raw	fbgn0003209	zip	fbgn0265434	suppressible
egr	fbgn0033483	bsk	fbgn0000229	suppressible
DAAM	fbgn0025641	Wnt5	fbgn0010194	enhanceable
bw	fbgn0000241	SMC5	fbgn0052438	suppressible
Ras85D|scrib	fbgn0003205|fbgn0263289	egr	fbgn0033483	suppressible
Cerk	fbgn0037315	bwa	fbgn0045064	suppressible
rpr	fbgn0011706	Diap1	fbgn0260635	suppressible
Ras85D	fbgn0003205	EM3-1	fbgn0041635	enhanceable
dco	fbgn0002413	fz	fbgn0001085	enhanceable
dlg1	fbgn0001624	egr	fbgn0033483	suppressible
N	fbgn0004647	sd	fbgn0003345	suppressible
slpr	fbgn0030018	hep	fbgn0010303	suppressible
Dcp-1	fbgn0010501	br	fbgn0283451	enhanceable
rpr	fbgn0011706	GlcT	fbgn0067102	suppressible
Vps35	fbgn0034708	Rab5	fbgn0014010	suppressible
y	fbgn0004034	mod(mdg4)	fbgn0002781	enhanceable
Wdr24	fbgn0027518	Tsc1	fbgn0026317	suppressible
upd1	fbgn0004956	Cip4	fbgn0035533	suppressible
KLHL18	fbgn0037978	Cul3	fbgn0261268	enhanceable
Rala	fbgn0015286	lqf	fbgn0028582	suppressible
aos	fbgn0004569	Diap2	fbgn0015247	suppressible
pbl	fbgn0003041	apt	fbgn0015903	suppressible
N	fbgn0004647	fng	fbgn0011591	enhanceable
Ubx|su(Hw)	fbgn0003944|fbgn0003567	Nipped-B	fbgn0026401	enhanceable
w	fbgn0003996	mw	fbgn0002910	enhanceable
tup	fbgn0003896	sc	fbgn0004170	suppressible
Psn	fbgn0284421	Dl	fbgn0000463	enhanceable
hop	fbgn0004864	Raf	fbgn0003079	suppressible
hh	fbgn0004644	snama	fbgn0086129	enhanceable
dgo	fbgn0086898	bdg	fbgn0034049	enhanceable
ft	fbgn0001075	Dlish	fbgn0034264	suppressible
z	fbgn0004050	Sam-S	fbgn0005278	suppressible
E(z)	fbgn0000629	osa	fbgn0261885	enhanceable
E(z)	fbgn0000629	aurA	fbgn0000147	enhanceable
Vap33	fbgn0029687	fwd	fbgn0004373	suppressible
ft	fbgn0001075	Raf	fbgn0003079	enhanceable
Pp2B-14D	fbgn0011826	Galk	fbgn0263199	suppressible
CycE	fbgn0010382	Trl	fbgn0013263	suppressible
tkv	fbgn0003716	hep	fbgn0010303	enhanceable
park	fbgn0041100	Sod2	fbgn0010213	suppressible
RanGAP	fbgn0003346	aub	fbgn0000146	enhanceable
slo	fbgn0003429	dlg1	fbgn0001624	suppressible
dome	fbgn0043903	Su(var)2-10	fbgn0003612	suppressible
Strip	fbgn0035437	TBCD	fbgn0027509	enhanceable
hid	fbgn0003997	mir-ban	fbgn0262451	suppressible
norpA	fbgn0262738	Osi21	fbgn0283678	suppressible
Rga	fbgn0017550	htt	fbgn0027655	enhanceable
dpp	fbgn0000490	shn	fbgn0003396	suppressible
wg	fbgn0284084	slp1	fbgn0003430	suppressible
N	fbgn0004647	fj	fbgn0000658	suppressible
Mitf	fbgn0263112	Cp1	fbgn0013770	suppressible
pbl	fbgn0003041	Rho1	fbgn0014020	enhanceable
sky	fbgn0032901	dor	fbgn0000482	suppressible
Myc	fbgn0262656	ash2	fbgn0000139	suppressible
N	fbgn0004647	p53	fbgn0039044	enhanceable
Lrrk	fbgn0038816	Rab9	fbgn0032782	suppressible
S6k	fbgn0283472	Akt1	fbgn0010379	suppressible
Myc	fbgn0262656	lid	fbgn0031759	enhanceable
arm	fbgn0000117	eRF1	fbgn0036974	suppressible
Hipk	fbgn0035142	yki	fbgn0034970	enhanceable
trio	fbgn0024277	Vav	fbgn0040068	enhanceable
qvr	fbgn0260499	nAChR?3	fbgn0015519	suppressible
sl	fbgn0003416	Itpr	fbgn0010051	enhanceable
eas	fbgn0000536	ATPCL	fbgn0020236	suppressible
sev	fbgn0003366	Dab	fbgn0000414	suppressible
hid	fbgn0003997	Dark	fbgn0263864	suppressible
wupA	fbgn0283471	Ras85D|l(2)gl	fbgn0003205|fbgn0002121	enhanceable
Pi3K92E	fbgn0015279	lep	fbgn0084500	enhanceable
ftz	fbgn0001077	E(ftz)4038	fbgn0082680	enhanceable
tor	fbgn0003733	Su(tor)3-1	fbgn0014062	suppressible
Ctr1A	fbgn0062413	Ctr1B	fbgn0062412	enhanceable
phyl	fbgn0013725	ttk	fbgn0003870	enhanceable
E2f1	fbgn0011766	Pc	fbgn0003042	suppressible
Ubx	fbgn0003944	Abd-B	fbgn0000015	suppressible
mir-305	fbgn0262458	InR	fbgn0283499	suppressible
pyd	fbgn0262614	ena	fbgn0000578	enhanceable
Cbl	fbgn0020224	Dap160	fbgn0023388	enhanceable
Myc	fbgn0262656	pont	fbgn0040078	enhanceable
cnk	fbgn0286070	aop	fbgn0000097	suppressible
Atg9	fbgn0034110	Tsc1|gig	fbgn0026317|fbgn0005198	suppressible
crb	fbgn0259685	kst	fbgn0004167	enhanceable
lush	fbgn0020277	Or67d	fbgn0036080	suppressible
kek6	fbgn0039862	Vap33	fbgn0029687	suppressible
dlg1	fbgn0001624	vg	fbgn0003975	suppressible
Rdl|eve	fbgn0004244|fbgn0000606	Fas2	fbgn0000635	enhanceable
DAAM	fbgn0025641	Rac1	fbgn0010333	enhanceable
l(3)mbt	fbgn0002441	pum	fbgn0003165	suppressible
gcm	fbgn0014179	fru	fbgn0004652	enhanceable
Bx	fbgn0265598	ap	fbgn0267978	enhanceable
LIMK1	fbgn0283712	ssh	fbgn0029157	suppressible
sl	fbgn0003416	rho	fbgn0004635	enhanceable
mew	fbgn0004456	blo	fbgn0000198	enhanceable
egr	fbgn0033483	Mkk4	fbgn0024326	suppressible
aos	fbgn0004569	SM3-8	fbgn0041615	suppressible
pbl	fbgn0003041	Mob2	fbgn0259481	suppressible
RpII215|lncRNA:roX1	fbgn0003277|fbgn0019661	msl-1|msl-2	fbgn0005617|fbgn0005616	suppressible
Vhl	fbgn0041174	bnl	fbgn0014135	suppressible
Diap1|hid	fbgn0260635|fbgn0003997	Dark	fbgn0263864	suppressible
ksr::tor	fbgn0019804	Ras85D	fbgn0003205	enhanceable
ft	fbgn0001075	Dlish	fbgn0034264	suppressible
EcR	fbgn0000546	Mical	fbgn0053208	suppressible
hid	fbgn0003997	Diap1	fbgn0260635	enhanceable
Dcr-2|Eogt	fbgn0034246|fbgn0264672	N	fbgn0004647	suppressible
E(z)	fbgn0000629	Su(var)2-1	fbgn0004849	suppressible
Alg3	fbgn0011297	egr	fbgn0033483	enhanceable
Drak	fbgn0052666	Sb	fbgn0003319	enhanceable
capt	fbgn0261458	Khc	fbgn0001308	enhanceable
mir-8	fbgn0262432	Nrg	fbgn0264975	suppressible
Wnt5	fbgn0010194	Rac1	fbgn0010333	suppressible
Apc2	fbgn0026598	ApepP	fbgn0026150	enhanceable
Pc	fbgn0003042	tna	fbgn0026160	suppressible
Hmgcr	fbgn0263782	Mdr49	fbgn0004512	suppressible
aPKC	fbgn0261854	numb	fbgn0002973	suppressible
grim	fbgn0015946	Nct	fbgn0039234	suppressible
Ras85D	fbgn0003205	ER3-2	fbgn0016644	enhanceable
upd1	fbgn0004956	jim	fbgn0027339	enhanceable
parvin	fbgn0052528	Chd64	fbgn0035499	enhanceable
wg	fbgn0284084	sc	fbgn0004170	suppressible
shg	fbgn0003391	ct	fbgn0004198	suppressible
svp	fbgn0003651	TfIIA-S	fbgn0013347	suppressible
nkd	fbgn0002945	dsh	fbgn0000499	enhanceable
rux	fbgn0003302	stg	fbgn0003525	suppressible
Dp|E2f1	fbgn0011763|fbgn0011766	pnt	fbgn0003118	enhanceable
sog	fbgn0003463	tkv	fbgn0003716	enhanceable
Bx	fbgn0265598	l(3)mbn	fbgn0002440	enhanceable
HP1b	fbgn0030082	htt	fbgn0027655	suppressible
flw	fbgn0000711	Rho1	fbgn0014020	suppressible
Gli	fbgn0001987	bsk	fbgn0000229	suppressible
Dys	fbgn0260003	lace	fbgn0002524	suppressible
trio	fbgn0024277	Rac1	fbgn0010333	enhanceable
hop	fbgn0004864	ecd	fbgn0000543	suppressible
crb	fbgn0259685	Rho1	fbgn0014020	suppressible
da	fbgn0267821	da::Drer\tcf3a	fbgn0022337	suppressible
Src64B	fbgn0262733	bsk	fbgn0000229	suppressible
DCTN2-p50	fbgn0021825	Khc	fbgn0001308	enhanceable
kermit	fbgn0010504	Khc	fbgn0001308	enhanceable
Ube3a	fbgn0061469	Pu	fbgn0003162	enhanceable
sev	fbgn0003366	Sos	fbgn0001965	suppressible
Rich	fbgn0028500	CadN	fbgn0015609	enhanceable
ct	fbgn0004198	mod(mdg4)	fbgn0002781	suppressible
l(2)gd1	fbgn0261983	vg	fbgn0003975	suppressible
Myb	fbgn0002914	nej	fbgn0261617	suppressible
in	fbgn0001259	frtz	fbgn0086698	enhanceable
Axn	fbgn0026597	nmo	fbgn0011817	suppressible
robo1	fbgn0005631	G?q	fbgn0004435	enhanceable
sev	fbgn0003366	rin	fbgn0015778	suppressible
sev	fbgn0003366	Cdc37	fbgn0011573	enhanceable
rpr	fbgn0011706	Drice	fbgn0019972	suppressible
Pten	fbgn0026379	foxo	fbgn0038197	suppressible
Nmnat	fbgn0039254	Ect4|axed	fbgn0262579|fbgn0035708	suppressible
ZnT86D	fbgn0037875	ZnT41F	fbgn0025693	suppressible
Hem	fbgn0011771	WASp	fbgn0024273	suppressible
kay	fbgn0001297	jing	fbgn0086655	enhanceable
pic	fbgn0260962	wts	fbgn0011739	suppressible
ZnT86D	fbgn0037875	Zip71B	fbgn0036461	enhanceable
rho	fbgn0004635	ru	fbgn0003295	enhanceable
trx	fbgn0003862	mod(mdg4)	fbgn0002781	enhanceable
nesd	fbgn0032848	pav	fbgn0011692	suppressible
fz2	fbgn0016797	fz	fbgn0001085	suppressible
Ret	fbgn0011829	hh	fbgn0004644	enhanceable
eas	fbgn0000536	Top1	fbgn0004924	suppressible
w	fbgn0003996	Low	fbgn0011646	suppressible
clu	fbgn0034087	park	fbgn0041100	enhanceable
EP3617	fbgn0064243	CycE	fbgn0010382	suppressible
B	fbgn0000154	oro	fbgn0020263	enhanceable
anchor	fbgn0036741	tkv	fbgn0003716	suppressible
eIF4E1	fbgn0015218	Lrrk	fbgn0038816	suppressible
G?o	fbgn0001122	fz	fbgn0001085	enhanceable
hep	fbgn0010303	chm	fbgn0028387	suppressible
gbb	fbgn0024234	cv-2	fbgn0000395	suppressible
Egfr	fbgn0003731	E(Egfr)C22	fbgn0023222	enhanceable
hiw	fbgn0030600	p38a	fbgn0015765	suppressible
Raf	fbgn0003079	Su(phl)4	fbgn0014885	suppressible
mtm	fbgn0025742	Rab11	fbgn0015790	suppressible
ash1|trx	fbgn0005386|fbgn0003862	dom	fbgn0020306	suppressible
sl	fbgn0003416	Egfr	fbgn0003731	suppressible
Dref	fbgn0015664	eIF4A	fbgn0001942	suppressible
Caf1-105	fbgn0033526	eyg	fbgn0000625	enhanceable
so	fbgn0003460	Chd1	fbgn0250786	suppressible
Syx1A	fbgn0013343	Vha100-1	fbgn0028671	suppressible
Vps35	fbgn0034708	N	fbgn0004647	suppressible
pins	fbgn0040080	mgr	fbgn0264694	suppressible
CtBP	fbgn0020496	wit	fbgn0024179	suppressible
wg	fbgn0284084	Ras85D	fbgn0003205	suppressible
btl|stumps	fbgn0285896|fbgn0020299	EP595b	fbgn0043586	suppressible
Src42A	fbgn0264959	Src64B	fbgn0262733	enhanceable
l(3)a	fbgn0002412	l(3)ac	fbgn0005199	enhanceable
Scox	fbgn0262467	p53	fbgn0039044	suppressible
ct	fbgn0004198	z	fbgn0004050	suppressible
N	fbgn0004647	Hsc70-4	fbgn0266599	suppressible
Su(H)	fbgn0004837	Cdk9	fbgn0019949	suppressible
heph	fbgn0011224	TBPH	fbgn0025790	enhanceable
ZnT35C	fbgn0028516	Zip71B	fbgn0036461	enhanceable
E2f1	fbgn0011766	kis	fbgn0266557	suppressible
dup	fbgn0000996	pim	fbgn0003087	suppressible
N	fbgn0004647	lola	fbgn0283521	suppressible
Rbf	fbgn0015799	hid	fbgn0003997	suppressible
ey	fbgn0005558	hh	fbgn0004644	suppressible
dpp	fbgn0000490	vri	fbgn0016076	enhanceable
dom	fbgn0020306	CG7745	fbgn0033616	enhanceable
Pink1	fbgn0029891	Pgam5	fbgn0023517	suppressible
ct	fbgn0004198	CG5390	fbgn0032213	enhanceable
Cln3	fbgn0036756	CG5044	fbgn0038326	enhanceable
vn	fbgn0003984	Madm	fbgn0027497	suppressible
baz	fbgn0000163	Roc2	fbgn0044020	enhanceable
rpr	fbgn0011706	hep	fbgn0010303	suppressible
Tm1|osk	fbgn0003721|fbgn0003015	E(To)13	fbgn0046122	enhanceable
Smn	fbgn0036641	eIF3m	fbgn0033902	suppressible
E2f1	fbgn0011766	tara	fbgn0040071	suppressible
H	fbgn0001169	gro	fbgn0001139	enhanceable
Ras85D|l(2)gl	fbgn0003205|fbgn0002121	puc	fbgn0243512	suppressible
boi	fbgn0040388	smo	fbgn0003444	suppressible
Dl	fbgn0000463	N	fbgn0004647	suppressible
mys	fbgn0004657	bs	fbgn0004101	enhanceable
Scg?	fbgn0025391	Smox	fbgn0025800	suppressible
?Tub60D::?Tub85D	fbgn0015578	?Tub85D	fbgn0003889	suppressible
